編號,語言,詞語,轉寫1,轉寫2,翻譯,
PAN24773,原始南島語,*aCay,,,死亡,https://acd.clld.org/cognatesets/24773
PAN24809,原始南島語,*amax,,,父親,https://acd.clld.org/cognatesets/24809
PAN24981,原始南島語,*babuy,,,豬,https://acd.clld.org/cognatesets/24981
PAN30164,原始南島語,*bahi,,,女性,https://acd.clld.org/cognatesets/30164
PAN29830,原始南島語,*bajaq,,,知道；詢問,https://acd.clld.org/cognatesets/29830
PAN25053,原始南島語,*bales,,,回答；回報,https://acd.clld.org/cognatesets/25053
PAN29892,原始南島語,*bali,,,風,https://acd.clld.org/cognatesets/29892
PAN25118,原始南島語,*baNaw,,,菝葜,https://acd.clld.org/cognatesets/25118
PAN25215,原始南島語,*bañaw,,,洗澡,https://acd.clld.org/cognatesets/25215
PAN30241,原始南島語,*baŋaS,,,苦楝,https://acd.clld.org/cognatesets/30241
PAN25140,原始南島語,*baqeRuh,,,新,https://acd.clld.org/cognatesets/25140
PAN30264,原始南島語,*baqeSiŋ,,,噴嚏,https://acd.clld.org/cognatesets/30264
PAN31164,原始南島語,*baRaŋ,,,肋骨?,https://acd.clld.org/cognatesets/31164
PAN25147,原始南島語,*baRaq,,,肺,https://acd.clld.org/cognatesets/25147
PAN25181,原始南島語,*baRuj,,,鴿子(可能為皇鳩),https://acd.clld.org/cognatesets/25181
PAN25250,原始南島語,*beCeŋ,,,小米,https://acd.clld.org/cognatesets/25250
PAN29894,原始南島語,*beNbeN,,,香蕉,https://acd.clld.org/cognatesets/29894
PAN25334,原始南島語,*beRas,,,稻穀,https://acd.clld.org/cognatesets/25334
PAN25336,原始南島語,*beRay,,,給,https://acd.clld.org/cognatesets/25336
PAN25340,原始南島語,*beRek,,,家豬,https://acd.clld.org/cognatesets/25340
PAN25432,原始南島語,*biCuka,,,胃,https://acd.clld.org/cognatesets/25432
PAN25504,原始南島語,*biRaq,,,野芋,https://acd.clld.org/cognatesets/25504
PAN25515,原始南島語,*biRbiR,,,嘴唇,https://acd.clld.org/cognatesets/25515
PAN25622,原始南島語,*buhet,,,松鼠,https://acd.clld.org/cognatesets/25622
PAN25761,原始南島語,*buRuk,,,(食物)腐臭,https://acd.clld.org/cognatesets/25761
PAN25768,原始南島語,*buSuk,,,酒醉,https://acd.clld.org/cognatesets/25768
PAN25775,原始南島語,*busuR,,,獵弓,https://acd.clld.org/cognatesets/25775
PAN29953,原始南島語,*Cabu,,,打包,https://acd.clld.org/cognatesets/29953
PAN25871,原始南島語,*Caki,,,糞便,https://acd.clld.org/cognatesets/25871
PAN29941,原始南島語,*Cali,,,食用芋,https://acd.clld.org/cognatesets/29941
PAN25874,原始南島語,*Caliŋa,,,耳朵,https://acd.clld.org/cognatesets/25874
PAN25873,原始南島語,*CaliS,,,繩索,https://acd.clld.org/cognatesets/25873
PAN25880,原始南島語,*CaqiS,,,縫,https://acd.clld.org/cognatesets/25880
PAN25884,原始南島語,*Cawa,,,笑,https://acd.clld.org/cognatesets/25884
PAN29898,原始南島語,*CawiN,,,年,https://acd.clld.org/cognatesets/29898
PAN25894,原始南島語,*CebuS,,,甘蔗,https://acd.clld.org/cognatesets/25894
PAN25905,原始南島語,*Cenek,,,刺,https://acd.clld.org/cognatesets/25905
PAN25925,原始南島語,*CiŋaS,,,菜渣,https://acd.clld.org/cognatesets/25925
PAN29900,原始南島語,*Cumay,,,台灣黑熊,https://acd.clld.org/cognatesets/29900
PAN25936,原始南島語,*CuNuh,,,火烤,https://acd.clld.org/cognatesets/25936
PAN25940,原始南島語,*CuqelaN,,,髁；(魚除外之)動物骨,https://acd.clld.org/cognatesets/25940
PAN29991,原始南島語,*dakeS,,,樟樹,https://acd.clld.org/cognatesets/29991
PAN30618,原始南島語,*damaR,,,火炬所用之樹脂,https://acd.clld.org/cognatesets/30618
PAN33939,原始南島語,*damuq,,,露水,https://acd.clld.org/cognatesets/33939
PAN30173,原始南島語,*daŋdaŋ,,,烤火,https://acd.clld.org/cognatesets/30173
PAN30010,原始南島語,*dapaN,,,腳底；足跡,https://acd.clld.org/cognatesets/30010
PAN29901,原始南島語,*daqu,,,無患子,https://acd.clld.org/cognatesets/29901
PAN25970,原始南島語,*daReq,,,泥土,https://acd.clld.org/cognatesets/25970
PAN29952,原始南島語,*dawiN,,,遠,https://acd.clld.org/cognatesets/29952
PAN25997,原始南島語,*demdem,,,執念,https://acd.clld.org/cognatesets/25997
PAN26002,原始南島語,*deRdeR,,,雷,https://acd.clld.org/cognatesets/26002
PAN30254,原始南島語,*dilaq,,,舔,https://acd.clld.org/cognatesets/30254
PAN30364,原始南島語,*diRi,,,站,https://acd.clld.org/cognatesets/30364
PAN30482,原始南島語,*duma,,,某人；他人；不同,https://acd.clld.org/cognatesets/30482
PAN30558,原始南島語,*duSa,,,二,https://acd.clld.org/cognatesets/30558
PAN26107,原始南島語,*enem,,,六,https://acd.clld.org/cognatesets/26107
PAN30820,原始南島語,*garuC,,,梳子,https://acd.clld.org/cognatesets/30820
PAN30447,原始南島語,*gemgem,,,拳頭；握拳,https://acd.clld.org/cognatesets/30447
PAN33892,原始南島語,*guCguC,,,抓癢,https://acd.clld.org/cognatesets/33892
PAN26533,原始南島語,*isa,,,一,https://acd.clld.org/cognatesets/26533
PAN26542,原始南島語,*iSiq,,,尿液；排尿,https://acd.clld.org/cognatesets/26542
